epoch_time,vram_mb,gpu_util,temp_c
1782321148,248,0,44
1782321163,248,0,44
1782321179,248,0,45
1782321194,248,0,45
1782321209,248,0,45
1782321224,248,0,46
1782321239,248,0,46
1782321254,248,0,46
1782321269,3677,6,52
1782321284,7729,88,63
1782321299,11599,100,66
1782321314,248,0,59
1782321329,248,0,49
1782321344,248,0,45
1782321359,248,0,43
1782321374,248,0,41
1782321389,248,0,42
1782321404,248,0,43
1782321419,248,0,43
1782321434,248,0,44
1782321450,248,0,44
1782321465,248,0,45
1782321480,248,0,45
1782321495,248,0,45
